id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG04,BAT032,2025-01-14,2089,0.55
REG03,BAT009,2025-01-21,2717,0.84
REG04,BAT032,2025-01-17,328,0.63
REG01,BAT013,2025-01-18,618,0.18
REG05,BAT012,2025-01-12,1531,0.71
REG05,BAT005,2025-01-16,2965,0.75
REG01,BAT037,2025-01-19,1935,0.6
REG03,BAT029,2025-01-07,2042,0.85
REG02,BAT003,2025-01-30,2174,0.28
REG03,BAT031,2025-01-08,906,0.9
REG05,BAT010,2025-01-16,2080,0.54
REG01,BAT017,2025-01-10,2310,0.27
REG03,BAT001,2025-01-12,2891,0.35
REG05,BAT012,2025-01-06,162,0.16
REG04,BAT035,2025-01-12,2061,0.34
REG04,BAT038,2025-01-24,2930,0.39
REG05,BAT019,2025-01-29,1616,0.28
REG01,BAT032,2025-01-26,2937,0.41
REG02,BAT037,2025-01-06,843,0.23
REG04,BAT039,2025-01-15,2896,0.14
REG05,BAT039,2025-01-29,1281,0.64
REG03,BAT035,2025-01-06,2895,0.57
REG01,BAT010,2025-01-02,1625,0.79
REG01,BAT019,2025-01-30,1691,0.45
REG01,BAT037,2025-01-03,887,0.6
REG03,BAT016,2025-01-14,198,0.57
REG02,BAT038,2025-01-03,2290,0.35
REG01,BAT030,2025-01-12,1643,0.79
REG04,BAT024,2025-01-06,187,0.38
REG04,BAT032,2025-01-20,2446,0.22
REG03,BAT003,2025-01-08,2495,0.51
REG03,BAT037,2025-01-27,2301,0.41
REG03,BAT001,2025-01-03,2777,0.86
REG02,BAT010,2025-01-17,2215,0.55
REG05,BAT030,2025-01-26,2638,0.12
REG04,BAT039,2025-01-11,1566,0.14
REG02,BAT018,2025-01-07,772,0.44
REG04,BAT018,2025-01-17,1415,0.16
REG04,BAT019,2025-01-11,1120,0.19
REG01,BAT034,2025-01-26,1672,0.89
REG05,BAT020,2025-01-29,2048,0.8
REG05,BAT023,2025-01-04,777,0.79
REG05,BAT037,2025-01-13,1506,1.51
REG03,BAT011,2025-01-20,1312,0.87
REG05,BAT009,2025-01-07,2265,0.13
REG04,BAT025,2025-01-29,1276,0.11
REG01,BAT035,2025-01-04,2811,0.54
REG03,BAT037,2025-01-03,2730,0.54
REG02,BAT036,2025-01-27,2064,0.78
REG01,BAT020,2025-01-27,1168,0.63
REG03,BAT002,2025-01-11,2364,0.51
REG01,BAT020,2025-01-07,1367,0.26
REG03,BAT026,2025-01-02,2882,0.88
REG05,BAT009,2025-01-29,759,0.69
REG01,BAT017,2025-01-26,2551,0.18
REG01,BAT021,2025-01-10,1905,0.45
REG04,BAT038,2025-01-08,2866,0.27
REG01,BAT017,2025-01-01,2636,0.82
REG05,BAT019,2025-01-20,933,0.31
REG02,BAT038,2025-01-29,1877,0.37
REG02,BAT014,2025-01-28,569,0.62
REG01,BAT001,2025-01-14,2685,0.55
REG03,BAT002,2025-01-09,2347,0.85
REG01,BAT032,2025-01-02,252,0.66
REG01,BAT039,2025-01-06,2354,0.61
REG02,BAT001,2025-01-19,950,0.28
REG04,BAT012,2025-01-21,198,
REG04,BAT005,2025-01-03,2375,0.6
REG02,BAT037,2025-01-10,1236,0.84
REG01,BAT020,2025-01-08,2123,0.72
REG04,BAT028,2025-01-08,2392,0.16
REG02,BAT017,2025-01-28,2190,0.22
REG01,BAT008,2025-01-08,1307,0.84
REG01,BAT027,2025-01-20,2548,0.42
REG01,BAT018,2025-01-30,1717,0.66
REG05,BAT003,2025-01-26,870,0.38
REG01,BAT008,2025-01-29,1184,0.42
REG03,BAT025,2025-01-12,2827,0.69
REG05,BAT010,2025-01-28,2865,0.67
REG02,BAT003,2025-01-27,420,0.4
REG01,BAT038,2025-01-06,2411,0.9
REG05,BAT003,2025-01-24,2579,0.42
REG05,BAT011,2025-01-04,166,0.61
REG01,BAT016,2025-01-23,2368,0.66
REG04,BAT018,2025-01-21,622,0.88
REG01,BAT012,2025-01-07,1737,0.62
REG05,BAT013,2025-01-17,1333,0.32
REG02,BAT034,2025-01-14,2964,0.61
REG04,BAT035,2025-01-30,2597,0.84
REG03,BAT014,2025-01-29,1235,0.79
REG01,BAT009,2025-01-03,1471,0.21
REG03,BAT007,2025-01-14,2201,0.57
REG02,BAT008,2025-01-25,2187,0.36
REG04,BAT008,2025-01-05,457,0.67
