id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG05,BAT039,2025-01-01,2891,0.14
REG05,BAT030,2025-01-02,2499,0.24
REG05,BAT017,2025-01-02,785,0.57
REG05,BAT021,2025-01-03,870,0.85
REG05,BAT005,2025-01-03,1984,
REG05,BAT030,2025-01-03,1582,0.3
REG05,BAT025,2025-01-03,2262,0.48
REG05,BAT033,2025-01-03,,0.92
REG05,BAT023,2025-01-03,2801,0.69
REG05,BAT021,2025-01-03,1035,0.79
REG05,BAT033,2025-01-04,652,0.84
REG05,BAT019,2025-01-04,442,0.5
REG05,BAT020,2025-01-05,2617,0.43
REG05,BAT005,2025-01-05,2306,0.22
REG05,BAT010,2025-01-06,2553,0.57
REG05,BAT009,2025-01-06,1812,0.18
REG05,BAT023,2025-01-07,1143,0.61
REG05,BAT025,2025-01-07,2870,0.73
REG05,BAT015,2025-01-07,1047,0.73
REG05,BAT010,2025-01-08,2866,0.5
REG05,BAT033,2025-01-08,1055,0.65
REG05,BAT033,2025-01-08,1641,0.54
REG05,BAT039,2025-01-08,891,0.2
REG05,BAT025,2025-01-08,1076,0.19
REG05,BAT030,2025-01-09,,0.38
REG05,BAT037,2025-01-09,2895,0.83
REG05,BAT025,2025-01-09,2243,
REG05,BAT037,2025-01-10,579,0.69
REG05,BAT010,2025-01-10,1376,0.11
REG05,BAT010,2025-01-10,112,0.1
REG05,BAT030,2025-01-10,1974,0.77
REG05,BAT023,2025-01-10,568,0.56
REG05,BAT015,2025-01-10,675,0.49
REG05,BAT033,2025-01-11,191,0.32
REG05,BAT017,2025-01-11,737,0.75
REG05,BAT009,11.01.2025,155,0.7
REG05,BAT033,2025-01-11,1581,0.8
REG05,BAT033,2025-01-12,244,0.46
REG05,BAT009,2025-01-13,722,0.37
REG05,BAT010,2025-01-14,2284,1.38
REG05,BAT015,2025-01-14,1732,0.91
REG05,BAT017,2025-01-14,2797,0.78
REG05,BAT017,2025-01-14,1237,0.44
