compteur_id,date_mesure,consommation,type_energie,unite
EAU_001,2025-01-01 00:00:00,1.205,eau,m3
EAU_001,2025-01-01 01:00:00,1.107,eau,m3
EAU_001,2025-01-01 02:00:00,2.566,eau,m3
EAU_001,2025-01-01 03:00:00,2.035,eau,m3
EAU_001,2025-01-01 04:00:00,3.765,eau,m3
EAU_001,2025-01-01 05:00:00,2.227,eau,m3
EAU_001,2025-01-01 06:00:00,4.163,eau,m3
EAU_001,2025-01-01 07:00:00,0.79,eau,m3
EAU_001,2025-01-01 08:00:00,2.97,eau,m3
EAU_001,2025-01-01 09:00:00,4.081,eau,m3
EAU_001,2025-01-01 10:00:00,4.837,eau,m3
EAU_001,2025-01-01 11:00:00,0.621,eau,m3
EAU_001,2025-01-01 12:00:00,4.057,eau,m3
EAU_001,2025-01-01 12:00:00,4.057,eau,m3
EAU_001,2025-01-01 13:00:00,4.226,eau,m3
EAU_001,2025-01-01 14:00:00,3.473,eau,m3
EAU_001,2025-01-01 15:00:00,1.557,eau,m3
EAU_001,2025-01-01 16:00:00,1.553,eau,m3
EAU_001,2025-01-01 17:00:00,3.589,eau,m3
EAU_001,2025-01-01 18:00:00,1.547,eau,m3
EAU_001,2025-01-01 19:00:00,4.966,eau,m3
EAU_001,2025-01-01 20:00:00,2.463,eau,m3
EAU_001,2025-01-01 21:00:00,1.749,eau,m3
EAU_001,2025-01-01 22:00:00,3.356,eau,m3
EAU_001,2025-01-01 23:00:00,2.619,eau,m3
EAU_001,2025-01-02 00:00:00,1.449,eau,m3
EAU_001,2025-01-02 01:00:00,1.417,eau,m3
EAU_001,2025-01-02 02:00:00,3.515,eau,m3
EAU_001,2025-01-02 03:00:00,3.262,eau,m3
EAU_001,2025-01-02 04:00:00,0.596,eau,m3
EAU_001,2025-01-02 05:00:00,1.898,eau,m3
EAU_001,2025-01-02 06:00:00,1.579,eau,m3
EAU_001,2025-01-02 07:00:00,1.937,eau,m3
EAU_001,2025-01-02 08:00:00,0.71,eau,m3
EAU_001,2025-01-02 09:00:00,0.437,eau,m3
EAU_001,2025-01-02 10:00:00,2.03,eau,m3
EAU_001,2025-01-02 11:00:00,2.968,eau,m3
EAU_001,2025-01-02 12:00:00,1.337,eau,m3
EAU_001,2025-01-02 13:00:00,4.81,eau,m3
EAU_001,2025-01-02 14:00:00,2.568,eau,m3
EAU_001,2025-01-02 15:00:00,3.19,eau,m3
EAU_001,2025-01-02 16:00:00,2.011,eau,m3
EAU_001,2025-01-02 17:00:00,2.648,eau,m3
EAU_001,2025-01-02 18:00:00,4.538,eau,m3
EAU_001,2025-01-02 19:00:00,2.319,eau,m3
EAU_001,2025-01-02 20:00:00,1.418,eau,m3
EAU_001,2025-01-02 21:00:00,3.874,eau,m3
EAU_001,2025-01-02 22:00:00,3.263,eau,m3
EAU_001,2025-01-02 23:00:00,1.66,eau,m3
EAU_001,2025-01-03 00:00:00,0.438,eau,m3
EAU_001,2025-01-03 01:00:00,1.46,eau,m3
EAU_001,2025-01-03 02:00:00,4.607,eau,m3
EAU_001,2025-01-03 03:00:00,2.763,eau,m3
EAU_001,2025-01-03 04:00:00,0.261,eau,m3
EAU_001,2025-01-03 05:00:00,1.102,eau,m3
EAU_001,2025-01-03 06:00:00,3.244,eau,m3
EAU_001,2025-01-03 07:00:00,3.557,eau,m3
EAU_001,2025-01-03 08:00:00,2.912,eau,m3
EAU_001,2025-01-03 09:00:00,2.587,eau,m3
EAU_001,2025-01-03 10:00:00,2.929,eau,m3
EAU_001,2025-01-03 11:00:00,4.742,eau,m3
EAU_001,2025-01-03 12:00:00,3.397,eau,m3
EAU_001,2025-01-03 13:00:00,2.726,eau,m3
EAU_001,2025-01-03 14:00:00,2.335,eau,m3
EAU_001,2025-01-03 15:00:00,0.602,eau,m3
EAU_001,2025-01-03 16:00:00,1.125,eau,m3
EAU_001,2025-01-03 17:00:00,0.295,eau,m3
EAU_001,2025-01-03 18:00:00,1.886,eau,m3
EAU_001,2025-01-03 19:00:00,3.095,eau,m3
EAU_001,2025-01-03 20:00:00,3.597,eau,m3
EAU_001,2025-01-03 21:00:00,2.166,eau,m3
EAU_001,2025-01-03 22:00:00,0.287,eau,m3
EAU_001,2025-01-03 23:00:00,1.753,eau,m3
EAU_001,2025-01-04 00:00:00,4.098,eau,m3
EAU_001,2025-01-04 01:00:00,2.363,eau,m3
EAU_001,2025-01-04 02:00:00,0.315,eau,m3
EAU_001,2025-01-04 03:00:00,4.466,eau,m3
EAU_001,2025-01-04 04:00:00,4.048,eau,m3
EAU_001,2025-01-04 05:00:00,0.291,eau,m3
EAU_001,2025-01-04 06:00:00,1.817,eau,m3
EAU_001,2025-01-04 07:00:00,0.778,eau,m3
EAU_001,2025-01-04 08:00:00,2.428,eau,m3
EAU_001,2025-01-04 09:00:00,3.003,eau,m3
EAU_001,2025-01-04 10:00:00,1.607,eau,m3
EAU_001,2025-01-04 11:00:00,3.604,eau,m3
EAU_001,2025-01-04 12:00:00,2.767,eau,m3
EAU_001,2025-01-04 13:00:00,3.161,eau,m3
EAU_001,2025-01-04 14:00:00,0.95,eau,m3
EAU_001,2025-01-04 15:00:00,2.456,eau,m3
EAU_001,2025-01-04 16:00:00,2.086,eau,m3
EAU_001,2025-01-04 17:00:00,1.168,eau,m3
EAU_001,2025-01-04 18:00:00,1.171,eau,m3
EAU_001,2025-01-04 19:00:00,2.076,eau,m3
EAU_001,2025-01-04 20:00:00,3.66,eau,m3
EAU_001,2025-01-04 21:00:00,3.674,eau,m3
EAU_001,2025-01-04 22:00:00,2.331,eau,m3
EAU_001,2025-01-04 23:00:00,2.313,eau,m3
EAU_001,2025-01-05 00:00:00,4.212,eau,m3
EAU_001,2025-01-05 01:00:00,4.628,eau,m3
EAU_001,2025-01-05 02:00:00,1.454,eau,m3
EAU_001,2025-01-05 03:00:00,1.441,eau,m3
EAU_001,2025-01-05 04:00:00,0.359,eau,m3
EAU_001,2025-01-05 05:00:00,3.47,eau,m3
EAU_001,2025-01-05 06:00:00,1.129,eau,m3
EAU_001,2025-01-05 07:00:00,1.893,eau,m3
EAU_001,2025-01-05 08:00:00,1.743,eau,m3
EAU_001,2025-01-05 09:00:00,4.922,eau,m3
EAU_001,2025-01-05 10:00:00,1.246,eau,m3
EAU_001,2025-01-05 11:00:00,4.009,eau,m3
EAU_001,2025-01-05 12:00:00,1.675,eau,m3
EAU_001,2025-01-05 13:00:00,4.106,eau,m3
EAU_001,2025-01-05 14:00:00,2.678,eau,m3
EAU_001,2025-01-05 15:00:00,1.209,eau,m3
EAU_001,2025-01-05 16:00:00,1.705,eau,m3
EAU_001,2025-01-05 17:00:00,1.025,eau,m3
EAU_001,2025-01-05 18:00:00,0.89,eau,m3
EAU_001,2025-01-05 19:00:00,1.687,eau,m3
EAU_001,2025-01-05 20:00:00,2.323,eau,m3
EAU_001,2025-01-05 21:00:00,2.207,eau,m3
EAU_001,2025-01-05 22:00:00,2.809,eau,m3
EAU_001,2025-01-05 23:00:00,1.222,eau,m3
EAU_001,2025-01-06 00:00:00,1.764,eau,m3
EAU_001,2025-01-06 01:00:00,0.709,eau,m3
EAU_001,2025-01-06 02:00:00,2.979,eau,m3
EAU_001,2025-01-06 03:00:00,2.199,eau,m3
EAU_001,2025-01-06 04:00:00,9864.99,eau,m3
EAU_001,2025-01-06 05:00:00,4.527,eau,m3
EAU_001,2025-01-06 06:00:00,0.396,eau,m3
EAU_001,2025-01-06 07:00:00,3.406,eau,m3
EAU_001,2025-01-06 08:00:00,3.668,eau,m3
EAU_001,2025-01-06 09:00:00,0.681,eau,m3
EAU_001,2025-01-06 10:00:00,0.677,eau,m3
EAU_001,2025-01-06 11:00:00,4.904,eau,m3
EAU_001,2025-01-06 12:00:00,1.562,eau,m3
EAU_001,2025-01-06 13:00:00,3.772,eau,m3
EAU_001,2025-01-06 14:00:00,4.672,eau,m3
EAU_001,2025-01-06 15:00:00,2.954,eau,m3
EAU_001,2025-01-06 16:00:00,0.997,eau,m3
EAU_001,2025-01-06 17:00:00,1.582,eau,m3
EAU_001,2025-01-06 18:00:00,1.734,eau,m3
EAU_001,2025-01-06 19:00:00,4.26,eau,m3
EAU_001,2025-01-06 20:00:00,0.761,eau,m3
EAU_001,2025-01-06 21:00:00,0.558,eau,m3
EAU_001,2025-01-06 22:00:00,1.324,eau,m3
EAU_001,2025-01-06 23:00:00,4.711,eau,m3
EAU_001,2025-01-07 00:00:00,0.306,eau,m3
EAU_001,2025-01-07 01:00:00,4.268,eau,m3
EAU_001,2025-01-07 02:00:00,2.83,eau,m3
EAU_001,2025-01-07 03:00:00,0.894,eau,m3
EAU_001,2025-01-07 04:00:00,0.432,eau,m3
EAU_001,2025-01-07 05:00:00,0.794,eau,m3
EAU_001,2025-01-07 06:00:00,2.828,eau,m3
EAU_001,2025-01-07 07:00:00,4.497,eau,m3
EAU_001,2025-01-07 08:00:00,0.955,eau,m3
EAU_001,2025-01-07 09:00:00,4.718,eau,m3
EAU_001,2025-01-07 10:00:00,3.889,eau,m3
EAU_001,2025-01-07 11:00:00,3.136,eau,m3
EAU_001,2025-01-07 12:00:00,3.804,eau,m3
EAU_001,2025-01-07 13:00:00,2.386,eau,m3
EAU_001,2025-01-07 14:00:00,1.157,eau,m3
EAU_001,2025-01-07 15:00:00,0.691,eau,m3
EAU_001,2025-01-07 16:00:00,0.38,eau,m3
EAU_001,2025-01-07 17:00:00,1.464,eau,m3
EAU_001,2025-01-07 18:00:00,0.549,eau,m3
EAU_001,2025-01-07 19:00:00,3.199,eau,m3
EAU_001,2025-01-07 20:00:00,4.682,eau,m3
